"id_approval"	"id_approvalBiomarker"
"DPAP-000009"	"DABM-000001"
"DPAP-000007"	"DABM-000002"
"DPAP-000011"	"DABM-000004"
"DPAP-000013"	"DABM-000006"
"DPAP-000014"	"DABM-000007"
"DPAP-000016"	"DABM-000009"
"DPAP-000016"	"DABM-000010"
"DPAP-000016"	"DABM-000008"
"DPAP-000017"	"DABM-000008"
"DPAP-000018"	"DABM-000008"
